ID;Nom;Posicio;idEquip;ID_Lliga;Gols;Assists;Minuts;Grogues;Vermelles;Gols90;Assists90
1460;B. Saka;Davanter;42;39;16;8;2933;4;0;0.49;0.25
978;K. Havertz;Davanter;42;39;13;7;2639;11;0;0.44;0.24
1946;L. Trossard;Davanter;42;39;12;1;1647;2;0;0.66;0.05
37127;M. Ødegaard;Migcampista;42;39;8;10;3104;2;0;0.23;0.29
127769;Gabriel Martinelli;Davanter;42;39;6;4;2029;1;0;0.27;0.18
22224;Gabriel Magalhães;Defensa;42;39;4;0;3044;4;0;0.12;0.00
643;Gabriel Jesus;Davanter;42;39;4;5;1481;6;0;0.24;0.30
19959;B. White;Defensa;42;39;4;4;2995;8;0;0.12;0.12
2597;T. Tomiyasu;Defensa;42;39;2;1;1143;2;1;0.16;0.08
22090;W. Saliba;Defensa;42;39;2;1;3420;4;0;0.05;0.03
61431;J. Kiwior;Defensa;42;39;1;3;971;1;0;0.09;0.28
641;O. Zinchenko;Defensa;42;39;1;2;1730;2;0;0.05;0.10
41725;Fábio Vieira;Migcampista;42;39;1;2;291;0;1;0.31;0.62
231062;A. Okonkwo;Porter;42;39;0;0;0;0;0;0.00;0.00
402329;A. Heaven;Defensa;42;39;0;0;0;0;0;0.00;0.00
313236;E. Nwaneri;Migcampista;42;39;0;0;13;0;0;0.00;0.00
309501;A. Cozier-Duberry;Migcampista;42;39;0;0;0;0;0;0.00;0.00
169295;K. Hein;Porter;42;39;0;0;0;0;0;0.00;0.00
284466;C. Patino;Migcampista;42;39;0;0;0;0;0;0.00;0.00
2784;R. Rúnarsson;Porter;42;39;0;0;0;0;0;0.00;0.00
284502;James Lannin-Sweet;Defensa;42;39;0;0;0;0;0;0.00;0.00
1161;E. Smith Rowe;Migcampista;42;39;0;1;346;0;0;0.00;0.26
3246;N. Pépé;Davanter;42;39;0;0;0;0;0;0.00;0.00
284062;K. Edwards;Davanter;42;39;0;0;0;0;0;0.00;0.00
1117;K. Tierney;Defensa;42;39;0;0;0;0;0;0.00;0.00
20355;A. Ramsdale;Porter;42;39;0;0;540;0;0;0.00;0.00
284540;Mauro Bandeira;Migcampista;42;39;0;0;0;0;0;0.00;0.00
138843;J. Hillson;Porter;42;39;0;0;0;0;0;0.00;0.00
278075;C. Cîrjan;Migcampista;42;39;0;0;0;0;0;0.00;0.00
1452;Mohamed Elneny;Migcampista;42;39;0;0;25;0;0;0.00;0.00
727;R. Nelson;Davanter;42;39;0;0;276;1;0;0.00;0.00
138842;M. Azeez;Migcampista;42;39;0;0;0;0;0;0.00;0.00
284571;C. Sagoe;Davanter;42;39;0;0;0;0;0;0.00;0.00
309507;B. Ibrahim;Migcampista;42;39;0;0;0;0;0;0.00;0.00
49;T. Partey;Migcampista;42;39;0;0;788;3;0;0.00;0.00
190;Cédric Soares;Defensa;42;39;0;0;59;0;0;0.00;0.00
38746;J. Timber;Defensa;42;39;0;0;71;2;0;0.00;0.00
2289;Jorginho;Migcampista;42;39;0;2;914;1;0;0.00;0.20
313245;M. Lewis-Skelly;Defensa;42;39;0;0;0;0;0;0.00;0.00
